,IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8,IMF9,Res
2824,11.87664976,26.03403844,9.496605594,-26.94913556,-47.94962845,22.30760125,-157.5902858,-155.7029566,83.05785023,4157.449261
2825,-5.803417122,26.25858336,13.21033213,-27.17931935,-32.68504828,28.60299163,-156.6100708,-158.8313674,82.72957339,4157.947742
2826,0.563958308,13.48022182,9.818005225,-26.32255157,-16.7878861,34.79170905,-155.5830589,-161.9436056,82.4011086,4158.442099
2827,13.36836855,-10.00197361,2.785844415,-24.57935447,-0.414135766,40.84686186,-154.5109548,-165.03947,82.0724747,4158.932339
2828,-15.67772952,-31.29734914,-2.768696505,-22.17724521,16.27151967,46.74156403,-153.3954602,-168.1187636,81.74369053,4159.41847
2829,0.479565136,-30.35063797,-2.829924227,-19.31018573,33.09654076,52.44893388,-152.2382735,-171.1812929,81.41477497,4159.9005
2830,-10.19683801,-7.437435356,2.704036643,-16.11759417,49.8795117,57.94209581,-151.0410906,-174.2268683,81.08574688,4160.378435
2831,20.7424114,16.65317415,10.31582436,-12.66422856,66.43066769,63.19415489,-149.8056096,-177.2553047,80.75662511,4160.852285
2832,5.914463686,20.18833558,15.15222609,-8.915259847,82.55252231,68.17817577,-148.5335269,-180.2664221,80.42742855,4161.322057
2833,-21.2953419,9.824473831,13.72553212,-4.755867518,98.04468367,72.86717012,-147.2265397,-183.2600446,80.09817606,4161.787758
2834,-1.771932085,4.392855429,5.564095288,-0.061120983,112.7060435,77.23412525,-145.8863469,-186.2360023,79.76888647,4162.249396
2835,18.11275483,2.926308933,-6.921493714,5.275081784,126.337534,81.25203254,-144.5146472,-189.1941292,79.43957866,4162.706979
2836,-10.91941327,-3.986240683,-19.75406769,11.30616281,138.7461774,84.8939892,-143.1131304,-192.1342639,79.11027147,4163.160515
2837,9.408580765,-13.46451409,-28.4656933,17.95579294,149.7512278,88.13333873,-141.6834803,-195.0562474,78.78098376,4163.610011
2838,-21.67738305,-16.01559551,-29.68108235,25.00990585,159.1901937,90.94405169,-140.2273773,-197.9599227,78.4517344,4164.055475
2839,13.83638154,-9.375242157,-22.5060675,32.0497475,166.9261166,93.3012439,-138.7465025,-200.8451347,78.12254223,4164.496915
2840,4.243089284,-2.275853028,-8.861346707,38.49813518,172.8507634,95.1817177,-137.2425377,-203.7117326,77.79342614,4164.934338
2841,-8.628515523,3.192870353,7.539406567,43.6765077,176.8788983,96.56538539,-135.717141,-206.5595695,77.46440495,4165.367753
2842,1.470559035,10.45367752,22.34508633,46.86729332,178.9532931,97.4378433,-134.1719142,-209.3885019,77.13549754,4165.797166
2843,7.085124392,16.45951118,31.7311436,47.42697885,179.0523269,97.7923721,-132.6083767,-212.1983889,76.80672273,4166.222586
2844,-15.77383262,18.01987019,34.03621628,44.86133049,177.2009583,97.63037494,-131.0279448,-214.9890922,76.47809939,4166.64402
2845,15.68313875,10.46740738,30.40134203,38.97444302,173.4735995,96.96132322,-129.4318972,-217.7604793,76.14964636,4167.061476
2846,17.01796352,-10.70888972,23.70264016,29.9349343,167.9898923,95.80082519,-127.8212881,-220.5124224,75.82138246,4167.474962
2847,-23.92995116,-30.64976053,17.20999062,18.22509673,160.9007591,94.16782043,-126.1969686,-223.244799,75.49332652,4167.884486
2848,-4.918103049,-25.83049341,12.75570946,4.627253441,152.3741152,92.0830966,-124.5596399,-225.9574905,75.16549735,4168.290055
2849,-6.63380606,2.63055094,9.651811648,-9.798407026,142.581995,89.56854669,-122.9099002,-228.6503814,74.83791375,4168.691677
2850,31.89779536,24.98153619,5.14233777,-23.80197618,131.6949159,86.64707912,-121.2482822,-231.3233599,74.51059452,4169.089359
2851,-16.192389,20.00609766,-3.424286741,-36.06550606,119.8788283,83.3421793,-119.5752733,-233.9763193,74.18355845,4169.483111
2852,-1.493981922,4.623570136,-16.53226252,-45.37726442,107.2927781,79.67787824,-117.8913243,-236.6091561,73.85682431,4169.872938
2853,-8.133512261,-2.074492151,-31.95199637,-50.76889937,94.089633,75.678642,-116.1968674,-239.2217688,73.53041089,4170.25885
2854,15.18701684,-2.853982869,-45.51424395,-51.60403276,80.40724672,71.36917854,-114.4923149,-241.8140589,73.20433696,4170.640854
2855,-8.700337725,-7.525983377,-52.34355094,-47.65174424,66.36366508,66.77435488,-112.7780507,-244.3859324,72.87862124,4171.018958
2856,12.09559573,-17.94965625,-48.66656156,-39.19884254,52.05550427,61.91924984,-111.0544415,-246.9373001,72.55328248,4171.39317
2857,-2.72240836,-29.47996736,-33.54717884,-27.09942149,37.56796101,56.82910364,-109.3218482,-249.4680764,72.22833939,4171.763497
2858,-4.651748625,-26.14687118,-9.537127518,-12.62048771,22.98205658,51.52922681,-107.5806264,-251.9781796,71.90381072,4172.129947
2859,-18.74776331,5.355245051,17.27511805,2.729929308,8.378910239,46.04497619,-105.8311275,-254.4675316,71.57971518,4172.492528
2860,3.596283,45.30627246,39.33341352,17.36569364,-6.160923803,40.40169822,-104.0737009,-256.9360565,71.25607147,4172.851249
2861,58.28938097,48.42048235,50.62124923,29.82600795,-20.55842744,34.62467056,-102.308699,-259.3836793,70.93289832,4173.206116
2862,-51.91596801,8.740148692,49.73505428,38.90274701,-34.74168904,28.73915497,-100.5364737,-261.8103274,70.61021444,4173.557139
