,VIMF1,VIMF2,VIMF3
1,-0.022560782,1.318480486,0.019704463
2,0.686368121,-1.939326133,0.102792505
3,0.00220992,0.033909202,-0.060966797
4,-1.187294814,1.898996092,-0.056315849
5,-0.169377511,-1.363048476,0.071671826
6,1.3402488,-1.295262262,-0.180916625
7,0.408746777,2.423557569,0.379158576
8,-1.441793947,-0.044449528,-0.413626202
9,-0.567763994,-2.622051206,0.176568503
10,1.492951953,1.577340399,0.249066947
11,0.742473037,1.910200545,-0.624410295
12,-1.487500933,-2.760124712,0.688404189
13,-0.993378654,-0.543630032,-0.373630168
14,1.284361609,3.115112098,-0.329284223
15,1.209465313,-1.04135726,1.073007992
16,-0.890490137,-2.503689085,-1.142891263
17,-1.209692207,2.38434326,0.343344806
18,0.436700742,1.090527751,0.800056014
19,1.024771023,-2.973354209,-1.528551862
20,-0.164686256,0.541072657,1.185645123
21,-0.771936121,2.665058743,0.124269896
22,0.017026339,-1.954382109,-1.468070332
23,0.698272807,-1.401378816,1.985860983
24,0.110356049,2.594425209,-1.230892929
25,-0.693117615,-0.2322793,-0.50175293
26,-0.207149447,-2.21047158,2.160331579
27,0.630787589,1.494161013,-2.564635639
28,0.403866698,1.21443606,1.312693768
29,-0.566276889,-2.158083435,0.914110376
30,-0.59294134,0.128884568,-2.740725436
31,0.345545909,1.902929983,2.819238248
32,0.725041917,-1.239729092,-0.912485495
33,-0.025847436,-0.940664865,-1.759192599
34,-0.726648479,1.722946011,3.394863028
35,-0.273531538,-0.250280566,-2.76637099
36,0.602251212,-1.474245813,0.10777556
37,0.422914615,1.135655258,2.76221603
38,-0.388011668,0.765533227,-3.71649716
39,-0.284651447,-1.381914623,2.122172271
40,0.064240386,-0.164207055,0.789820846
41,-0.010544343,1.305823855,-3.073157001
42,0.028224899,-0.426028405,3.180417522
43,0.412971583,-0.906979156,-1.05914029
44,0.09030825,0.788319154,-1.707119307
45,-0.757307,0.402316127,3.166697283
46,-0.415792115,-0.911380661,-2.419839198
47,0.995643904,0.097160819,0.072823541
48,0.798722729,0.72923328,2.196362065
49,-1.005591059,-0.313921759,-2.754899313
50,-1.175538582,-0.48143951,1.327795941
51,0.831569306,0.274862324,0.856711182
52,1.46913714,0.35207536,-2.208652519
53,-0.529420342,-0.129839057,1.920199489
54,-1.645659144,-0.404912699,-0.321532694
55,0.316846374,0.196392058,-1.276051116
56,1.558472399,0.273381661,1.53361448
57,-0.161456641,-0.201515557,-0.389772711
58,-1.364067203,-0.120220651,-0.936278816
59,0.015214594,0.059827676,1.151980414
60,1.340972192,0.309184827,0.060014158
61,0.012382986,-0.212220447,-1.619560582
62,-1.205185487,-0.30252549,2.011427544
63,-0.116701717,0.312896336,-0.630054751
64,1.097465961,0.279226681,-1.652776985
65,0.124018819,-0.524765799,2.984949269
66,-0.970510825,-0.081035856,-2.036063777
67,-0.255440128,0.531824372,-0.893545663
68,0.996968638,0.04698796,3.840574295
69,0.397321509,-0.636501181,-4.344880853
70,-0.886543542,0.194059884,1.573138582
71,-0.563842677,0.6030095,2.786770275
72,0.508657783,-0.677586975,-5.780837591
73,0.764189785,-0.119014595,5.050906361
74,-0.358302048,0.582069479,-0.819168794
75,-0.817298289,-0.142262074,-4.218690425
76,0.120280644,-0.433866084,6.608402377
77,0.951831891,0.453012707,-4.361150631
78,0.639389298,0.523292498,-0.899790139
79,-1.271386287,-1.375426813,5.163661594
80,-1.642093172,0.076480466,-5.531773662
81,1.243111287,2.011600055,1.984777886
82,2.589038219,-1.449720557,2.676536357
83,-0.544159551,-1.396126483,-4.749164868
84,-3.296297024,2.631523575,2.86915368
85,-0.931985469,-0.587766443,0.703869837
86,3.69727119,-2.369241742,-2.711692375
87,2.66067748,2.563220863,1.860843946
88,-3.39144026,0.893986412,0.672565158
89,-4.156617948,-3.469909942,-2.052402322
90,2.672586709,1.287583861,0.702873068
91,5.054279346,2.575737101,1.739974771
92,-1.790943948,-2.955067507,-2.515499982
93,-5.276022336,-0.127650089,0.783536594
94,0.93462746,2.922188036,2.091004568
95,5.11299763,-2.487480315,-3.729327409
96,-0.139871781,-0.950087269,2.413993025
97,-5.068031853,3.479881098,1.06374316
98,-0.630215563,-1.806859695,-4.078106962
99,5.095653359,-2.374067036,4.239899146
100,1.102592873,3.610782832,-1.367015519
101,-4.778384571,0.345946504,-2.290493495
102,-1.34004599,-4.140309411,4.158531616
103,4.064910234,1.699533109,-3.416562014
104,1.356944677,3.605300708,0.751503088
105,-3.669493581,-3.820907645,2.007792954
106,-1.049901516,-1.632623028,-3.111580034
107,3.563948566,5.00756084,2.242864445
108,0.797232765,-1.080897689,-0.272245318
109,-3.609144129,-4.660650763,-1.419894696
110,-0.613468182,3.67511293,1.896140432
111,3.466063955,2.519612535,-1.518703628
112,0.501929652,-4.956748377,0.955434743
113,-3.362762856,0.407366028,-0.251022821
114,-0.201615801,4.679936246,-0.703512765
115,3.254649139,-3.357832036,1.633837401
116,-0.110336838,-2.584626084,-1.96425922
117,-3.291572519,5.096184908,1.206402096
118,0.247729022,-0.77505459,0.451136823
119,3.626225032,-4.579057745,-2.051251503
120,-0.24746034,3.830060685,2.520726711
121,-4.167297551,2.031817366,-1.429274508
122,0.093097196,-5.255171875,-0.723658046
123,4.53434847,1.221688396,2.472068131
124,0.377066239,4.893155222,-2.402536788
125,-4.576568174,-4.131680944,0.701120691
126,-0.999721118,-2.939612459,1.243451478
127,4.29917314,5.875472988,-2.283440839
128,1.447934962,-0.125495652,1.867899444
129,-3.557750964,-5.595512872,-0.00805999
130,-1.665823465,2.951564011,-2.145886677
131,2.618257253,3.657289149,2.831339221
132,1.540202724,-4.63844233,-1.394216376
133,-1.933494241,-1.074105848,-1.332308418
134,-1.14852278,4.944144668,3.425285938
135,1.469355242,-1.488995617,-3.12820589
136,0.895272993,-3.671673866,0.553627716
137,-1.266440312,3.020465494,2.458852337
138,-0.732649765,1.656478103,-3.875262105
139,1.119087138,-3.299455856,2.673833118
140,0.735571344,0.375019138,0.551403545
141,-0.956127928,2.416696012,-3.614681855
142,-0.793566394,-1.691748151,4.163741671
143,0.530166904,-1.067019201,-1.791590276
144,0.953464911,2.244376655,-1.735574932
145,-0.150670921,-0.622960385,3.899378837
146,-0.920919492,-1.583595984,-3.224540266
147,-0.36271221,1.670647846,0.228415097
148,0.908775365,0.388556941,2.968604267
