,0,0,0,0,0,0,0,0,0,0,0,0,pre_sum,Original_true
0,2.262363,9.86751,25.9986,-10.278118,-111.72888,71.46286,103.82202,53.810143,3199.8962,0.82273704,-3.420449,3.3474126,3345.8625,3328.100203654845
1,-1.6977704,3.0947137,19.684698,-10.027762,-113.92407,70.83664,105.73633,55.117542,3199.8176,-1.7631204,-4.824009,-2.999257,3319.0515,3332.1497935814155
2,4.7471433,-2.7488854,11.591117,-10.067606,-115.86646,70.16732,107.635635,56.42291,3199.739,-0.7822829,3.4514818,0.33478522,3324.624,3320.8797844320306
3,7.3602977,-7.9339805,2.5561354,-10.329986,-117.55983,69.45527,109.519844,57.726307,3199.6602,1.4513848,5.4823713,2.555436,3319.9434,3326.049890096836
4,-3.5275848,-12.23759,-6.725576,-10.733222,-119.00894,68.701225,111.3888,59.027676,3199.5815,0.7795751,-3.3606796,-2.418245,3281.467,3264.449921125672
5,-14.634096,-14.899571,-14.306965,-11.169749,-120.219444,67.90584,113.24256,60.32701,3199.5027,-0.99955904,-5.7656374,0.31525102,3259.2983,3258.340040446163
6,-2.601099,-16.287624,-19.770113,-11.563947,-121.19757,67.06976,115.080925,61.624382,3199.4238,-0.49089018,3.0989287,1.9623905,3276.3489,3275.8699719372657
7,14.222252,-16.931137,-23.113432,-11.827145,-121.950096,66.19379,116.90383,62.91954,3199.3447,1.4106551,6.104719,-1.611167,3291.6667,3289.7701231653687
8,12.712725,-17.208912,-24.616386,-11.872313,-122.48429,65.27861,118.71119,64.21267,3199.2656,0.9412919,-2.4369323,0.68643224,3283.19,3279.860082432526
9,-5.8836946,-16.805094,-24.269691,-11.622162,-122.80791,64.32508,120.50289,65.50359,3199.1865,-1.1096269,-6.0232816,0.6219093,3261.6187,3242.8001756052263
10,-13.101925,-14.565918,-22.212402,-11.017863,-122.92887,63.333805,122.27899,66.79243,3199.1072,-0.9853145,2.092952,-1.1038607,3267.6892,3278.3800039385637
11,-7.1690354,-8.407273,-18.70872,-9.988533,-122.85527,62.30572,124.03929,68.07905,3199.0278,1.1567147,5.3981752,1.3340722,3294.212,3286.6200157355174
12,-1.9670675,1.7638923,-14.502272,-8.503836,-122.595055,61.24158,125.783875,69.363464,3198.9485,1.439007,-1.3340764,0.20914903,3309.8472,3320.410088793812
