,0,0,0,0,0,0,0,0,0,0,0,0,pre_sum,Original_true
0,-5.0102057,9.355723,25.005163,-7.56922,-100.799194,72.39716,82.64352,63.37519,3156.0796,1.5637413,-2.6308737,1.533315,3295.9438,3293.7698605962114
1,4.5530086,3.142331,17.774153,-7.7804356,-102.82775,71.75095,84.55926,64.599686,3156.0361,2.7802842,-1.4225831,-0.64638275,3292.5186,3304.1700121865033
2,9.94376,-1.2352874,9.315964,-8.177122,-104.618385,71.06329,86.462654,65.82212,3155.9927,0.23123741,2.469752,-0.4532784,3286.8171,3281.3702019963366
3,4.6135616,-4.49762,0.52299744,-8.691491,-106.17501,70.33484,88.35366,67.04239,3155.9492,-2.9044676,1.9521214,1.7326376,3268.233,3276.620257701602
4,-6.0108047,-7.2994576,-7.890247,-9.24932,-107.50238,69.566315,90.232185,68.26059,3155.9053,-2.6195586,-2.056078,-0.8986412,3240.4377,3226.600000776512
5,-7.8422637,-10.06313,-15.8152895,-9.773846,-108.605934,68.75842,92.097946,69.47656,3155.8616,0.78387195,-2.134901,-0.6431486,3232.0999,3235.5399886155765
6,4.9390683,-13.105863,-22.269756,-10.186889,-109.491684,67.91195,93.95108,70.690475,3155.8179,2.7793396,1.4687796,1.894176,3244.3987,3238.3798315972767
7,10.425847,-15.431385,-26.983662,-10.410327,-110.16613,67.02771,95.79123,71.90211,3155.774,0.81365806,2.5218265,-0.5577108,3240.707,3231.120127825237
8,2.9453914,-16.691595,-28.723284,-10.371886,-110.63639,66.10645,97.61848,73.11167,3155.73,-2.6830773,-0.7217123,-0.83587474,3224.8481,3219.42000577081
9,-7.8693023,-15.765862,-27.59062,-10.010393,-110.909935,65.148964,99.43263,74.31889,3155.6863,-2.7488863,-2.4642239,1.4325478,3218.6604,3209.909838435317
10,-6.9421563,-11.4605,-24.008163,-9.284631,-110.99452,64.15606,101.23361,75.52389,3155.642,0.6243576,0.029180355,-0.03294746,3234.4863,3237.850185269132
11,1.4784234,-4.9633675,-18.74271,-8.173047,-110.89787,63.128586,103.021324,76.72659,3155.5981,2.6623216,2.3638537,-0.7517159,3261.4504,3254.110191786151
12,2.3937917,4.31819,-12.775018,-6.668616,-110.62734,62.067272,104.79566,77.92707,3155.5537,0.6329357,0.9083698,1.1639373,3279.69,3291.600075492117
13,0.8984886,15.056292,-7.6103272,-4.778599,-110.190025,60.9729,106.55655,79.1252,3155.5095,-2.556125,-1.9577605,0.16924237,3291.1953,3292.150085373705
