,IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8,IMF9,Res
1871,-7.674987868,-22.46392951,-36.96706361,-9.082943595,27.75915607,-8.342531434,-51.2694265,-79.62110994,-267.7571554,3147.739992
1872,-6.501905961,-17.09622329,-26.64903698,-17.00216823,24.19440589,-4.599408158,-53.872601,-81.59512252,-268.6961441,3147.858204
1873,17.89331758,-3.238327751,-7.997581115,-23.40580019,20.24767691,-0.782446561,-56.44948956,-83.54339158,-269.6298509,3147.975893
1874,-20.58951919,9.993728468,12.71673703,-28.07881286,16.02040648,3.08613463,-58.99802818,-85.46545106,-270.5582543,3148.093059
1875,16.25351826,17.2822605,28.41632788,-30.89344632,11.61581074,6.984164959,-61.51617087,-87.36083486,-271.4813328,3148.209703
1876,-18.76139097,18.36201724,34.05188886,-31.81611604,7.138233169,10.88957009,-64.00188502,-89.22907693,-272.3990647,3148.325824
1877,17.94711492,16.06182955,28.38188569,-30.90005948,2.691652242,14.78043854,-66.45314692,-91.06971117,-273.3114284,3148.441425
1878,2.92797057,2.831180502,14.15055807,-28.26970575,-1.622697526,18.63479767,-68.86793502,-92.88227152,-274.2184024,3148.556505
1879,-9.391122649,-14.87701888,-3.280850492,-24.07794574,-5.704319369,22.43068505,-71.24423698,-94.66629189,-275.1199651,3148.671066
1880,4.182124549,-21.31908172,-18.22574373,-18.50372548,-9.45759161,26.14637896,-73.58006751,-96.42130622,-276.0160949,3148.785108
1881,-12.84328448,-10.57757315,-26.61120724,-11.79346531,-12.79657576,29.76054679,-75.87345305,-98.14684841,-276.9067702,3148.898631
1882,10.04500013,6.642975632,-26.96757154,-4.294579974,-15.64307933,33.25247511,-78.12243443,-99.8424524,-277.7919694,3149.011636
1883,8.583718409,9.821631275,-20.16455013,3.523873027,-17.92659646,36.60217471,-80.32505227,-101.5076521,-278.671671,3149.124125
1884,-3.732027871,-2.146942063,-8.693303142,11.09607744,-19.58322551,39.79052273,-82.47936321,-103.1419815,-279.5458533,3149.236096
1885,-9.950289559,-8.393453985,4.04467744,17.77039234,-20.5555997,42.79965778,-84.58346761,-104.7449744,-280.4144948,3149.347552
1886,-3.112952921,1.935102687,14.58029696,22.86685792,-20.79205737,45.61352,-86.63552203,-106.3161648,-281.2775739,3149.458493
1887,9.021048432,15.30975721,20.39190308,25.77061293,-20.25686396,48.21852025,-88.63374227,-107.8550866,-282.135069,3149.56892
1888,3.111738031,14.15026352,20.60496781,26.06385377,-18.93936039,50.60437473,-90.57643779,-109.3612737,-282.9869585,3149.678833
1889,-0.755388131,-1.380998148,16.34850215,23.5803433,-16.86567194,52.76448521,-92.46202351,-110.8342601,-283.8332209,3149.788232
1890,-2.728213503,-14.61966979,10.19914174,18.43621195,-14.10319696,54.69507172,-94.28905003,-112.2735797,-284.6738345,3149.897119
1891,-10.95762342,-12.78136785,4.663447921,11.03608494,-10.7565884,56.39433365,-96.05623691,-113.6787664,-285.5087778,3150.005494
1892,8.330223465,-0.741264663,0.914048078,2.004068483,-6.952442086,57.86188899,-97.76249723,-115.0493541,-286.3380292,3150.113358
1893,3.298699698,6.503965354,-1.160196933,-7.840837947,-2.827362236,59.09838343,-99.40691924,-116.3848767,-287.161567,3150.220712
1894,-7.062342938,5.739574606,-2.643846119,-17.54849023,1.475235905,60.10533603,-100.9887844,-117.6848682,-287.9793698,3150.327555
1895,4.780320354,3.065438079,-4.881711275,-26.12335573,5.808312765,60.88499627,-102.5076115,-118.9488625,-288.791416,3150.43389
1896,1.721882155,-1.450868743,-8.606709041,-32.61163335,10.02451699,61.44031886,-103.9631448,-120.1763936,-289.5976838,3150.539715
1897,-1.607889808,-4.968721215,-13.78165529,-36.22242693,13.98119877,61.7749176,-105.3553092,-121.3669953,-290.3981519,3150.645033
1898,-4.601630924,-1.612037745,-19.99137354,-36.41801774,17.54716202,61.89324843,-106.6841941,-122.5202017,-291.1927985,3150.749844
1899,-3.74733452,6.730796676,-26.53390721,-32.96069568,20.61318712,61.80100051,-107.9500452,-123.6355474,-291.9816021,3150.854148
1900,16.58745019,7.873303724,-32.1409713,-25.95738321,23.09493199,61.50507534,-109.1532441,-124.7125674,-292.7645411,3150.957946
1901,-5.619676231,-3.349833679,-34.64016437,-15.88504013,24.92665778,61.0134952,-110.294286,-125.7507973,-293.541594,3151.061239
1902,-15.35703372,-10.13582603,-31.73110891,-3.592670688,26.05344726,60.33542595,-111.3737483,-126.7497734,-294.3127391,3151.164027
1903,6.510664182,-5.130546505,-22.18191458,9.795588494,26.4282071,59.48093415,-112.3922549,-127.7090342,-295.0779549,3151.266311
1904,11.10404516,-1.606240962,-6.491826753,23.05082506,26.01042335,58.46047494,-113.3504546,-128.6281185,-295.8372197,3151.368092
1905,-15.80620201,-3.090033813,12.82891735,34.92422256,24.76608916,57.28371921,-114.2490046,-129.5065662,-296.590512,3151.46937
1906,7.690173657,-0.274199132,32.07813783,44.23628143,22.67039964,55.9593666,-115.0885776,-130.3439187,-297.3378103,3151.570147
1907,-0.589673329,6.025372975,47.14939156,49.95877372,19.7190175,54.4953722,-115.8698631,-131.1397202,-298.0790928,3151.670422
1908,-1.67197686,8.73140459,54.62633289,51.32117246,15.94504683,52.89923339,-116.5935534,-131.8935176,-298.8143381,3151.770196
1909,20.40256291,5.678800593,52.67425443,48.00916423,11.43623823,51.17822101,-117.2603248,-132.604862,-299.5435246,3151.86947
1910,-32.40237587,4.387713083,41.61838556,40.34766693,6.331593152,49.33955944,-117.8708478,-133.2733088,-300.2666306,3151.968245
1911,3.039567462,8.265539859,23.76329707,29.18684794,0.795637221,47.3904337,-118.4257925,-133.8984171,-300.9836346,3152.066521
1912,46.3207769,1.010633022,2.659891239,15.66042488,-4.993867226,45.3379313,-118.9258218,-134.4797524,-301.694515,3152.164299
1913,-33.54227926,-17.04798982,-17.89998233,1.001458292,-10.85395122,43.18888133,-119.3715785,-135.016888,-302.3992502,3152.26158
1914,-18.20194244,-15.48636237,-34.41774036,-13.56200887,-16.59940636,40.95000681,-119.7636849,-135.5094065,-303.0978187,3152.358364
1915,18.78368029,7.820587409,-44.18580076,-26.86663852,-22.04459467,38.62796368,-120.1027462,-135.956904,-303.7901988,3152.454652
1916,0.210478484,19.59877815,-46.0378161,-37.88185561,-27.00459557,36.22927149,-120.3893371,-136.3589987,-304.476369,3152.550444
1917,7.983043134,2.857235946,-40.0445992,-45.83755684,-31.29864039,33.76040671,-120.6239839,-136.7153395,-305.1563076,3152.645742
1918,1.87091156,-24.2838375,-27.15974777,-50.35617454,-34.75675785,31.22783098,-120.8071629,-137.025614,-305.8299932,3152.740545
1919,-41.98505245,-27.00958491,-9.862710889,-51.45511488,-37.2338884,28.63775125,-120.9392917,-137.2895593,-306.497404,3152.834855
1920,30.35861,2.848131367,7.193339876,-49.36839745,-38.63006595,25.99591838,-121.020712,-137.5069784,-307.1585183,3152.928673
1921,10.71313578,27.24328277,18.84676059,-44.42653406,-38.90356862,23.30767338,-121.0516765,-137.6777565,-307.8133145,3153.021998
1922,1.029235558,24.00867019,21.50099996,-37.09893254,-38.06689469,20.57807153,-121.0323458,-137.8018652,-308.4617704,3153.114831
1923,-31.86166214,9.16425025,15.37436626,-28.04669961,-36.17316413,17.81173576,-120.9627789,-137.8793585,-309.1038632,3153.207174
1924,30.6946851,-2.547077904,4.194682133,-18.00893926,-33.30249616,15.01298782,-120.8429345,-137.9103653,-309.7395687,3153.299027
1925,-7.217522183,-16.71253452,-6.22698506,-7.745263123,-29.54743061,12.18598482,-120.6727004,-137.8950782,-310.3688607,3153.39039
1926,-14.53150436,-23.59094709,-10.65822045,2.031546115,-25.00940283,9.334624705,-120.4519017,-137.8337488,-310.9917099,3153.481264
1927,5.150110442,-12.55827055,-7.051142172,10.76801749,-19.79777936,6.462488791,-120.1803041,-137.7266871,-311.6080837,3153.57165
1928,4.218890561,5.39783022,2.35091614,18.12688201,-14.02919539,3.572960289,-119.8576258,-137.5742597,-312.2179471,3153.661549
1929,1.666203353,13.57366084,12.74939245,23.96884521,-7.826718911,0.669342161,-119.4835386,-137.3768839,-312.821263,3153.75096
1930,0.002384687,11.39684375,18.93176337,28.27350971,-1.318613185,-2.245091685,-119.057669,-137.1350198,-313.4179937,3153.839886
1931,-6.642694602,8.695505771,17.4764596,31.09996895,5.366443419,-5.167140269,-118.579603,-136.8491645,-314.0081009,3153.928326
1932,1.12444541,8.315698648,8.378385925,32.56351828,12.10567056,-8.09371369,-118.0488948,-136.5198445,-314.5915463,3154.01628
1933,7.739681709,3.647359909,-4.975321559,32.80553553,18.78174549,-11.0217816,-117.465074,-136.1476043,-315.1682922,3154.103751
1934,-5.556680949,-8.376149355,-17.10225227,31.96780999,25.28396754,-13.94846999,-116.82766,-135.7329994,-315.7383037,3154.190738
1935,-1.279053576,-16.79271046,-23.07637126,30.15333776,31.51290153,-16.87104484,-116.1361611,-135.2765912,-316.301549,3154.277242
1936,-1.38344742,-13.36728953,-20.24437455,27.41306711,37.38267575,-19.78687101,-115.3900797,-134.7789421,-316.8580025,3154.363264
1937,8.596833923,-3.352281175,-9.367511773,23.74587256,42.81873798,-22.69327884,-114.5889204,-134.2406118,-317.4076445,3154.448804
1938,-9.316039385,5.066382962,5.636195096,19.14436384,47.75770953,-25.58766271,-113.7321952,-133.6621558,-317.9504616,3154.533863
1939,0.144202182,10.02359573,19.28597198,13.62925691,52.1462065,-28.46767286,-112.8194314,-133.0441275,-318.4864436,3154.618442
1940,14.09148944,9.754573488,26.97055072,7.304185928,55.94073973,-31.33124964,-111.8501691,-132.3870791,-319.0155826,3154.702541
1941,-5.581017333,4.495705612,26.36995749,0.414006803,59.10524247,-34.17666821,-110.8239541,-131.691562,-319.5378721,3154.786161
1942,-13.97762155,1.611332522,18.05771977,-6.636455937,61.60977479,-37.00227397,-109.7403459,-130.9581266,-320.0533062,3154.869303
1943,21.76984388,2.082720262,4.724081724,-13.32332403,63.4293463,-39.80649709,-108.5989353,-130.1873233,-320.5618795,3154.951967
